Disease,Symptoms,Precautions,Dietary Recommendations,Yoga & Exercises,Exercise Precautions
Japanese Encephalitis,"Fever, Nausea, Headache","Drink Water, Avoid Junk Food, Wear a Mask, Regular Checkups","Protein Rich, Balanced Diet, Avoid Processed Food","Deep Breathing, Mild Cardio","Gradual Warm-Up, Monitor Heart Rate, Rest When Tired"
Rash,"Itching, Redness, Swelling, Dry Skin","Avoid irritants, Use moisturizer, Wear loose clothing","Increase hydration, Eat anti-inflammatory foods, Avoid spicy food","Gentle stretching, Meditation for stress reduction","Avoid sweating too much, Wear breathable clothing"
Chronic Pain,"Persistent Pain, Fatigue, Sleep Disturbances","Manage stress, Follow a structured routine, Use pain relievers as prescribed","Eat anti-inflammatory foods, Stay hydrated, Avoid processed sugar","Gentle yoga, Low-impact stretching, Breathing exercises","Avoid overexertion, Listen to body signals"
Vertigo,"Dizziness, Light-headedness, Nausea, Balance Problems","Avoid sudden movements, Stay hydrated, Use handrails for balance","Increase fluid intake, Reduce salt and caffeine","Vestibular exercises, Balance training, Deep breathing","Avoid fast head movements, Exercise in a safe environment"
Hearing Loss,"Muffled Hearing, Ringing in Ears, Sensitivity to Loud Sounds","Avoid loud noises, Use ear protection, Get regular checkups","Omega-3 rich foods, Antioxidants, Reduce salt intake","Neck and jaw relaxation exercises, Sound therapy",Avoid prolonged exposure to loud environments
Nausea,"Feeling Sick, Vomiting, Dizziness","Avoid strong smells, Stay hydrated, Eat small meals","Ginger tea, Bland foods, Avoid oily or spicy foods","Breathing exercises, Acupressure, Light stretching","Avoid high-intensity workouts, Rest when needed"
Iron Deficiency Anemia,"Fatigue, Weakness, Pale Skin, Shortness of Breath, Dizziness","Increase iron intake, Avoid tea/coffee with meals, Take iron supplements if prescribed","Leafy greens, Red meat, Beans, Fortified cereals, Vitamin C-rich foods","Mild yoga, Walking, Deep breathing exercises","Avoid overexertion, Stay hydrated"
Generalized Anxiety Disorder,"Excessive Worry, Irritability, Fatigue, Sleep Disturbances, Muscle Tension","Practice mindfulness, Avoid caffeine, Seek therapy if needed","Omega-3 fatty acids, Whole grains, Green tea, Probiotics","Meditation, Deep breathing, Light stretching","Avoid overstimulation, Choose calming activities"
Vitamin D Deficiency,"Bone Pain, Muscle Weakness, Fatigue, Depression, Hair Loss","Increase sun exposure, Take vitamin D supplements if prescribed","Fatty fish, Egg yolks, Fortified dairy products, Mushrooms","Outdoor walking, Weight-bearing exercises, Light yoga",Avoid excessive exertion if weak
Chronic Fatigue Syndrome,"Extreme Fatigue, Unrefreshing Sleep, Brain Fog, Muscle Pain, Joint Pain","Maintain sleep hygiene, Manage stress, Avoid overexertion","Balanced diet, Anti-inflammatory foods, Hydration","Gentle stretching, Breathing exercises, Restorative yoga","Avoid pushing beyond limits, Gradually increase activity"
Hypertension,"Headaches, Dizziness, Blurred Vision, Chest Pain, Fatigue","Monitor blood pressure regularly, Reduce salt intake, Exercise moderately","Leafy greens, Low-sodium diet, Whole grains, Bananas","Brisk walking, Yoga, Deep breathing","Avoid heavy lifting, Avoid high-intensity workouts"
Hyperthyroidism,"Heart Palpitations, Dizziness, Chest Discomfort, Sweating","Avoid triggers, Stay hydrated, Follow a balanced diet","Consume probiotic-rich foods, Healthy fats, Herbal teas","Core strengthening, Stability exercises, Light weight training","Warm up and cool down properly, Modify exercises as per tolerance"
Ulcerative Colitis,"Headache, Nausea, Blurred Vision, Sleep Disturbances","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Consume probiotic-rich foods, Healthy fats, Herbal teas","Gentle yoga, Deep breathing, Stretching, Walking","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Lupus,"Cough, Fever, Shortness of Breath, Chest Pain","Monitor symptoms, Get regular checkups, Avoid excessive stress","Avoid processed foods, Reduce sugar intake, Increase fiber","Gentle yoga, Deep breathing, Stretching, Walking","Warm up and cool down properly, Modify exercises as per tolerance"
Tinnitus,"Fatigue, Weakness, Dizziness, Shortness of Breath","Take prescribed medications, Exercise moderately, Get enough sleep","Consume probiotic-rich foods, Healthy fats, Herbal teas","Gentle yoga, Deep breathing, Stretching, Walking","Warm up and cool down properly, Modify exercises as per tolerance"
Bronchitis,"Nausea, Vomiting, Abdominal Pain, Diarrhea","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Breathing exercises, Meditation, Slow-paced activities","Warm up and cool down properly, Modify exercises as per tolerance"
Hemophilia,"Memory Loss, Confusion, Difficulty Concentrating","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Avoid processed foods, Reduce sugar intake, Increase fiber","Breathing exercises, Meditation, Slow-paced activities","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
Hepatitis,"Painful Urination, Frequent Urination, Cloudy Urine","Use proper hygiene, Avoid contaminated food, Take doctor-prescribed supplements","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Core strengthening, Stability exercises, Light weight training","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
Parkinson’s Disease,"Nausea, Vomiting, Abdominal Pain, Weight Fluctuations","Avoid triggers, Stay hydrated, Follow a balanced diet","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Core strengthening, Stability exercises, Light weight training","Avoid heavy lifting, Do not overexert, Take breaks when needed"
Fibromyalgia,"Anxiety, Depression, Mood Swings, Irritability","Avoid triggers, Stay hydrated, Follow a balanced diet","Avoid processed foods, Reduce sugar intake, Increase fiber","Breathing exercises, Meditation, Slow-paced activities","Warm up and cool down properly, Modify exercises as per tolerance"
Sickle Cell Disease,"Cough, Shortness of Breath, Chest Pain, Low Energy","Monitor symptoms, Get regular checkups, Avoid excessive stress","Focus on anti-inflammatory foods, Maintain electrolyte balance","Gentle yoga, Deep breathing, Stretching, Walking","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
Rosacea,"Anxiety, Depression, Mood Swings, Low Energy","Monitor symptoms, Get regular checkups, Avoid excessive stress","Avoid processed foods, Reduce sugar intake, Increase fiber","Breathing exercises, Meditation, Slow-paced activities","Avoid heavy lifting, Do not overexert, Take breaks when needed"
Liver Disease,"Heart Palpitations, Chest Discomfort, Sweating, Low Energy","Monitor symptoms, Get regular checkups, Avoid excessive stress","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Tai chi, Pilates, Balance exercises, Resistance band workouts","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
Epilepsy,"Fatigue, Weakness, Dizziness, Shortness of Breath","Take prescribed medications, Exercise moderately, Get enough sleep","Avoid processed foods, Reduce sugar intake, Increase fiber","Gentle yoga, Deep breathing, Stretching, Walking","Warm up and cool down properly, Modify exercises as per tolerance"
Schizophrenia,"Chronic Pain, Muscle Weakness, Joint Pain","Avoid triggers, Stay hydrated, Follow a balanced diet","Avoid processed foods, Reduce sugar intake, Increase fiber","Tai chi, Pilates, Balance exercises, Resistance band workouts","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
COPD,"Skin Rash, Itching, Swelling, Redness","Monitor symptoms, Get regular checkups, Avoid excessive stress","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Gentle yoga, Deep breathing, Stretching, Walking","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Pancreatitis,"Heart Palpitations, Dizziness, Chest Discomfort, Blurred Vision","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Focus on anti-inflammatory foods, Maintain electrolyte balance","Moderate cardio, Strength training, Swimming, Cycling","Warm up and cool down properly, Modify exercises as per tolerance"
Acne,"Memory Loss, Confusion, Difficulty Concentrating","Take prescribed medications, Exercise moderately, Get enough sleep","Avoid processed foods, Reduce sugar intake, Increase fiber","Moderate cardio, Strength training, Swimming, Cycling","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Psoriasis,"Fever, Shortness of Breath, Chest Pain, Swollen Lymph Nodes","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Gentle yoga, Deep breathing, Stretching, Walking","Listen to body signals, Gradually increase intensity, Seek expert advice"
PCOS,"Headache, Nausea, Sleep Disturbances, Loss of Appetite","Use proper hygiene, Avoid contaminated food, Take doctor-prescribed supplements","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Tai chi, Pilates, Balance exercises, Resistance band workouts","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
Osteoporosis,"Fever, Shortness of Breath, Chest Pain, Blurred Vision","Avoid triggers, Stay hydrated, Follow a balanced diet","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Tai chi, Pilates, Balance exercises, Resistance band workouts","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Diabetes Type 1,"Headache, Nausea, Blurred Vision, Loss of Appetite","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Moderate cardio, Strength training, Swimming, Cycling","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
Dementia,"Confusion, Difficulty Concentrating, Night Sweats","Use proper hygiene, Avoid contaminated food, Take doctor-prescribed supplements","Focus on anti-inflammatory foods, Maintain electrolyte balance","Core strengthening, Stability exercises, Light weight training","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Bipolar Disorder,"Headache, Nausea, Blurred Vision, Sleep Disturbances","Take prescribed medications, Exercise moderately, Get enough sleep","Avoid processed foods, Reduce sugar intake, Increase fiber","Core strengthening, Stability exercises, Light weight training","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Obsessive-Compulsive Disorder,"Fever, Shortness of Breath, Chest Pain, Weight Fluctuations","Monitor symptoms, Get regular checkups, Avoid excessive stress","Consume probiotic-rich foods, Healthy fats, Herbal teas","Tai chi, Pilates, Balance exercises, Resistance band workouts","Avoid heavy lifting, Do not overexert, Take breaks when needed"
Chronic Sinusitis,"Cough, Shortness of Breath, Chest Pain, Weight Fluctuations","Take prescribed medications, Exercise moderately, Get enough sleep","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Tai chi, Pilates, Balance exercises, Resistance band workouts","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Endometriosis,"Skin Rash, Swelling, Redness, Swollen Lymph Nodes","Take prescribed medications, Exercise moderately, Get enough sleep","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Core strengthening, Stability exercises, Light weight training","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Pneumonia,"Cough, Fever, Shortness of Breath, Blurred Vision","Monitor symptoms, Get regular checkups, Avoid excessive stress","Focus on anti-inflammatory foods, Maintain electrolyte balance","Tai chi, Pilates, Balance exercises, Resistance band workouts","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
Chronic Pain Syndrome,"Headache, Nausea, Blurred Vision, Mild Fever","Take prescribed medications, Exercise moderately, Get enough sleep","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Gentle yoga, Deep breathing, Stretching, Walking","Warm up and cool down properly, Modify exercises as per tolerance"
Heart Disease,"Anxiety, Mood Swings, Irritability, Nausea","Take prescribed medications, Exercise moderately, Get enough sleep","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Tai chi, Pilates, Balance exercises, Resistance band workouts","Warm up and cool down properly, Modify exercises as per tolerance"
Metabolic Syndrome,"Dizziness, Chest Discomfort, Sweating, Weight Fluctuations","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Breathing exercises, Meditation, Slow-paced activities","Warm up and cool down properly, Modify exercises as per tolerance"
Restless Leg Syndrome,"Weakness, Dizziness, Shortness of Breath, Blurred Vision","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Moderate cardio, Strength training, Swimming, Cycling","Warm up and cool down properly, Modify exercises as per tolerance"
Alzheimer’s,"Chronic Pain, Muscle Weakness, Joint Pain","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Gentle yoga, Deep breathing, Stretching, Walking","Warm up and cool down properly, Modify exercises as per tolerance"
Anemia,"Heart Palpitations, Dizziness, Chest Discomfort, Sweating","Use proper hygiene, Avoid contaminated food, Take doctor-prescribed supplements","Focus on anti-inflammatory foods, Maintain electrolyte balance","Gentle yoga, Deep breathing, Stretching, Walking","Avoid heavy lifting, Do not overexert, Take breaks when needed"
Sleep Apnea,"Cough, Shortness of Breath, Chest Pain, Low Energy","Use proper hygiene, Avoid contaminated food, Take doctor-prescribed supplements","Focus on anti-inflammatory foods, Maintain electrolyte balance","Core strengthening, Stability exercises, Light weight training","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Eczema,"Anxiety, Mood Swings, Irritability, Blurred Vision","Take prescribed medications, Exercise moderately, Get enough sleep","Focus on anti-inflammatory foods, Maintain electrolyte balance","Breathing exercises, Meditation, Slow-paced activities","Warm up and cool down properly, Modify exercises as per tolerance"
Tuberculosis,"Heart Palpitations, Dizziness, Sweating, Loss of Appetite","Avoid triggers, Stay hydrated, Follow a balanced diet","Focus on anti-inflammatory foods, Maintain electrolyte balance","Tai chi, Pilates, Balance exercises, Resistance band workouts","Avoid heavy lifting, Do not overexert, Take breaks when needed"
Depression,"Anxiety, Depression, Mood Swings, Weight Fluctuations","Take prescribed medications, Exercise moderately, Get enough sleep","Focus on anti-inflammatory foods, Maintain electrolyte balance","Breathing exercises, Meditation, Slow-paced activities","Warm up and cool down properly, Modify exercises as per tolerance"
Hypothyroidism,"Painful Urination, Cloudy Urine, Night Sweats","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Focus on anti-inflammatory foods, Maintain electrolyte balance","Breathing exercises, Meditation, Slow-paced activities","Warm up and cool down properly, Modify exercises as per tolerance"
Melanoma,"Frequent Urination, Cloudy Urine, Low Energy","Avoid triggers, Stay hydrated, Follow a balanced diet","Avoid processed foods, Reduce sugar intake, Increase fiber","Gentle yoga, Deep breathing, Stretching, Walking","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Multiple Sclerosis,"Memory Loss, Confusion, Low Energy","Use proper hygiene, Avoid contaminated food, Take doctor-prescribed supplements","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Gentle yoga, Deep breathing, Stretching, Walking","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
ADHD,"Dizziness, Chest Discomfort, Sweating, Low Energy","Monitor symptoms, Get regular checkups, Avoid excessive stress","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Breathing exercises, Meditation, Slow-paced activities","Listen to body signals, Gradually increase intensity, Seek expert advice"
Celiac Disease,"Heart Palpitations, Dizziness, Chest Discomfort, Nausea","Monitor symptoms, Get regular checkups, Avoid excessive stress","Avoid processed foods, Reduce sugar intake, Increase fiber","Gentle yoga, Deep breathing, Stretching, Walking","Avoid heavy lifting, Do not overexert, Take breaks when needed"
PTSD,"Painful Urination, Frequent Urination, Blurred Vision","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Core strengthening, Stability exercises, Light weight training","Avoid heavy lifting, Do not overexert, Take breaks when needed"
Stroke,"Dizziness, Chest Discomfort, Sweating, Swollen Lymph Nodes","Use proper hygiene, Avoid contaminated food, Take doctor-prescribed supplements","Increase green leafy vegetables, Lean protein, Whole grains, Hydration","Breathing exercises, Meditation, Slow-paced activities","Listen to body signals, Gradually increase intensity, Seek expert advice"
Menopause Symptoms,"Chronic Pain, Joint Pain, Nausea","Monitor symptoms, Get regular checkups, Avoid excessive stress","Focus on anti-inflammatory foods, Maintain electrolyte balance","Gentle yoga, Deep breathing, Stretching, Walking","Warm up and cool down properly, Modify exercises as per tolerance"
Insomnia,"Anxiety, Mood Swings, Irritability, Swollen Lymph Nodes","Take prescribed medications, Exercise moderately, Get enough sleep","Consume probiotic-rich foods, Healthy fats, Herbal teas","Tai chi, Pilates, Balance exercises, Resistance band workouts","Stay hydrated, Wear comfortable clothing, Stretch before workouts"
Dysautonomia,"Heart Palpitations, Chest Discomfort, Sweating, Mild Fever","Practice relaxation techniques, Maintain a healthy weight, Manage blood pressure","Consume probiotic-rich foods, Healthy fats, Herbal teas","Moderate cardio, Strength training, Swimming, Cycling","Avoid heavy lifting, Do not overexert, Take breaks when needed"
Lyme Disease,"Dizziness, Chest Discomfort, Sweating, Blurred Vision","Avoid triggers, Stay hydrated, Follow a balanced diet","Consume probiotic-rich foods, Healthy fats, Herbal teas","Core strengthening, Stability exercises, Light weight training","Warm up and cool down properly, Modify exercises as per tolerance"
Obesity,"Headache, Blurred Vision, Sleep Disturbances, Loss of Appetite","Use proper hygiene, Avoid contaminated food, Take doctor-prescribed supplements","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Tai chi, Pilates, Balance exercises, Resistance band workouts","Warm up and cool down properly, Modify exercises as per tolerance"
Kidney Disease,"Nausea, Abdominal Pain, Diarrhea, Nausea","Monitor symptoms, Get regular checkups, Avoid excessive stress","Follow a Mediterranean diet, Increase omega-3 intake, Reduce salt consumption","Tai chi, Pilates, Balance exercises, Resistance band workouts","Ensure proper posture, Avoid intense workouts, Follow medical guidance"
